Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,1377.057099,1473.798908,1475.561802,1430.748961,1473.604471,1519.535508,1586.061818,1617.153024,1634.609696,1659.736546,1778.772916,1982.675358
"Gambia, The",,,,,,,,,,,,,,,1541.348264,1478.101864,1444.287391,1458.895029,1503.594435,1543.4905,1592.566454,1470.663871,1510.150163,1545.232355,1506.492615,1518.22351,1509.83011,1515.619983
Guinea-Bissau,,,,,,,,,,,1319.844502,1309.91758,1296.016902,1274.304964,1285.847578,1311.731869,1325.371901,1342.835589,1338.12703,1355.486981,1393.790618,1484.032991,1420.083477,1393.943207,1448.343507,1484.555366,1540.300504,1551.809772
Equatorial Guinea,1111.853136,1118.341046,1489.337706,1538.187896,1484.035603,1532.778606,2418.691533,6319.987918,7022.102765,8872.134411,8948.606828,12339.69139,9180.135005,12206.47082,8833.611312,20896.49756,26572.05224,29863.17809,29215.91653,29353.23477,21545.18624,22234.59817,23817.46622,23089.57327,22629.35759,23324.48788,21315.83047,19512.53253
Greece,21080.15262,21554.30541,21595.67979,21073.19061,21403.69504,21751.79767,22203.008,23100.56299,23839.87144,24193.6118,24924.19296,25891.08024,26724.04919,28008.56486,29325.81252,29203.34984,30555.56311,31243.21922,30929.96568,29749.41682,28134.03362,25427.59371,24521.11455,23714.47814,24131.31556,24251.20435,,
Grenada,,,,,,,,,,,,,,,,,,,,,,10762.96326,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,4995.679971,5104.993203,5232.228046,5317.835991,5396.219877,5534.807884,5549.758521,5669.823946,5854.882615,5926.011443,5997.122118,6046.368304,6075.170085,6080.726595,6107.808178,6159.497426,6316.182674,6551.595361,6592.740544,6471.277707,6513.361005,6605.802843,6724.953257,6843.814187,6953.322339,7107.765793,7190.508928,7278.142303
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,6108.731539,,,,,,
High income,28590.64574,28831.49057,29310.92267,29502.8809,30232.1862,30848.77769,31601.42884,32510.15537,33154.85841,34101.51694,35289.40686,35516.68878,35708.62275,36374.63922,37468.47672,38337.26359,39290.8909,40113.82647,39952.28803,38402.15042,39451.40041,40164.75468,40467.23842,40851.31967,41418.02583,42119.59494,42376.90337,
"Hong Kong SAR, China",26175.02798,27272.52611,28669.23434,31307.04959,32332.20695,32677.91318,31988.10877,33623.74921,32083.4649,32598.15043,34329.70487,34821.87473,34629.13586,36488.78567,39141.9846,41166.22439,44577.74081,47452.27858,49408.7472,46785.22218,49138.82108,51453.72187,51113.95155,52724.59626,53885.78553,54607.98157,55808.85556,58419.70992
Honduras,2894.404196,2886.731191,2937.415221,3169.762299,3047.895215,3034.119934,3073.116169,3206.294491,3230.929476,3121.451682,3213.017081,3208.861828,3234.247973,3279.351265,3380.778355,3520.487897,3662.941605,3867.801726,3931.591222,3733.881075,3787.149583,3822.003241,3859.473655,3887.165524,3899.353291,4022.518996,4096.015267,4215.293803
Heavily indebted poor countries (HIPC),,,,1306.527086,1274.134341,1281.435658,1331.096046,1365.61682,1395.059874,1386.508261,1379.417859,1396.019902,1415.106807,1450.45198,1482.47851,1527.531647,1581.416391,1648.366048,1702.330998,1729.073199,1754.008173,1806.739397,1849.124044,1840.121337,1960.934014,2030.138347,2070.987072,2118.543295
Croatia,,,,,,12611.90114,13845.73008,14553.13001,14967.32278,14453.3114,15462.40828,15954.06203,16831.11746,17470.90797,18480.68718,19142.72828,20020.77331,21132.12242,21414.38198,19755.99748,19607.21408,20183.53125,19740.38959,19859.51608,19930.11991,20847.73386,21088.47155,22162.33726
Haiti,,,,,,,1722.614452,1734.814103,1738.574765,1752.26911,1743.996474,1688.76035,1647.259136,1624.264913,1546.667418,1537.486811,1569.152212,1596.598742,1586.609358,1613.761002,1505.867375,1570.134675,1600.389998,1634.225383,1662.886886,1657.645968,1681.42039,1665.462596
Hungary,,,,14174.53883,14588.80588,14745.49367,14696.67814,14972.22825,15613.35329,16130.9735,16994.48135,17668.35393,18480.36967,19361.47309,20201.24642,21115.39985,22039.92701,21823.7044,22174.99109,21079.002,21247.85939,21673.93438,21579.56461,22397.64364,23034.25869,23739.99272,,
IBRD only,,,,,,4899.68867,5085.670195,5268.484612,5347.567646,5506.554906,5780.535801,5950.671432,6167.59819,6520.727295,6964.688235,7405.963407,7974.284449,8674.875352,9078.42423,9231.426105,9816.192987,9904.423881,10323.32927,10733.97465,11218.63568,11643.10116,12121.84211,12660.86918
IDA & IBRD total,,,,,,4288.045846,4438.74787,4580.853253,4640.39387,4763.800823,4970.156505,5105.850511,5274.648187,5558.959349,5935.050315,6283.909559,6747.627944,7294.789357,7606.525814,7723.01478,8178.768606,8236.694906,8558.622911,8868.559246,9249.910477,9566.319102,9914.20777,10320.32414
